1	1	3
18	1	1
42	1	1
72	1	2
78	1	1
79	1	1
83	1	1
194	1	2
197	1	1
257	1	1
272	1	1
367	1	1
434	1	1
470	1	1
514	1	1
596	1	1
719	1	1
720	1	1
732	1	1
738	1	1
741	1	1
782	1	1
846	1	1
856	1	1
861	1	1
888	1	1
903	1	2
919	1	1
938	1	1
1099	1	1
1155	1	1
1196	1	1
1202	1	1
1210	1	1
1225	1	1
1236	1	1
1239	1	1
1266	1	1
1306	1	1
1324	1	1
1328	1	1
1409	1	1
1423	1	1
1430	1	1
1435	1	1
1445	1	1
1526	1	1
1539	1	1
1543	1	1
1549	1	1
1550	1	1
1563	1	1
1602	1	1
1648	1	1
1668	1	1
1676	1	1
1702	1	1
1703	1	1
1714	1	1
1750	1	1
1825	1	1
1933	1	2
2030	1	1
2043	1	1
2070	1	1
2139	1	1
2141	1	1
2169	1	1
2171	1	2
2177	1	1
2252	1	1
2266	1	1
2281	1	1
2312	1	1
2336	1	1
2354	1	1
2359	1	1
2433	1	1
2443	1	1
2504	1	1
2541	1	1
2610	1	1
2617	1	1
2650	1	1
2658	1	1
2701	1	1
2747	1	1
2770	1	1
2797	1	1
3008	1	1
3034	1	1
3147	1	1
3153	1	1
3177	1	1
3179	1	1
3181	1	1
3186	1	1
1	2	1
696	2	1
702	2	1
703	2	1
704	2	1
705	2	1
706	2	1
707	2	1
708	2	2
709	2	1
710	2	1
883	2	1
884	2	1
885	2	1
886	2	1
888	2	1
889	2	1
1333	2	1
1512	2	1
1513	2	1
1514	2	1
1515	2	1
1516	2	1
1517	2	1
2114	2	1
2115	2	1
2263	2	1
2264	2	1
2265	2	1
2266	2	2
2267	2	1
2268	2	1
2269	2	1
3020	2	1
3187	2	1
1	3	1
382	3	1
422	3	1
501	3	1
1028	3	1
1092	3	1
1520	3	1
1528	3	1
2198	3	1
2217	3	1
2832	3	1
1	4	1
9	4	1
15	4	1
105	4	1
119	4	1
251	4	1
374	4	1
386	4	1
443	4	1
466	4	1
501	4	1
538	4	1
614	4	1
625	4	1
675	4	1
713	4	1
722	4	1
728	4	1
758	4	1
768	4	1
770	4	1
830	4	1
831	4	1
840	4	1
866	4	1
901	4	1
934	4	1
980	4	1
1028	4	1
1079	4	1
1081	4	1
1183	4	1
1187	4	1
1245	4	1
1306	4	1
1371	4	1
1418	4	1
1419	4	1
1436	4	1
1523	4	1
1535	4	1
1538	4	1
1675	4	1
1734	4	1
1756	4	1
1850	4	1
1853	4	1
1856	4	1
1900	4	1
1935	4	1
